Game,White Player,whiteElo,Black Player,blackElo,Moves,ECO,Site,Year,Result,HansWhite,HansResult,HansElo,oppElo,EloDiff,expPoints,residual
153,"Abdusattorov, Nodirbek",2648,"Niemann, Hans Moke",2609,45,A28,Sharjah,2021,1,0,0,2609,2648,-39,0.45,-0.45
154,"Niemann, Hans Moke",2609,"Nisipeanu, Liviu-Dieter",2657,48,D20,Sharjah,2021,0.5,1,0.5,2609,2657,-48,0.43,0.07
155,"Niemann, Hans Moke",2609,"Amin, Bassem",2704,34,E94,Sharjah,2021,1,1,1,2609,2704,-95,0.37,0.63
156,"Salem, A.R. Saleh",2679,"Niemann, Hans Moke",2609,31,D43,Sharjah,2021,1,0,0,2609,2679,-70,0.4,-0.4
157,"Niemann, Hans Moke",2609,"Rios, Cr",2466,45,B30,Sharjah UAE,2021,1,1,1,2609,2466,143,0.68,0.32
158,"Naiditsch, A.",2663,"Niemann, Hans Moke",2609,14,C92,Sharjah UAE,2021,0.5,0,0.5,2609,2663,-54,0.42,0.08
159,"Niemann, Hans Moke",2609,"Sanal, V.",2561,68,D11,Vrnjacka Banja SRB,2021,0.5,1,0.5,2609,2561,48,0.56,-0.06
160,"Rakhmanov, Aleksandr",2661,"Niemann, Hans Moke",2609,35,A08,Vrnjachka Banya,2021,0.5,0,0.5,2609,2661,-52,0.43,0.07
161,"Niemann, Hans Moke",2609,"Damjanovic, Vuk",2395,67,E10,Vrnjacka Banja SRB,2021,1,1,1,2609,2395,214,0.76,0.24
162,"Draskovic, L.",2470,"Niemann, Hans Moke",2609,44,A28,Vrnjacka Banja SRB,2021,0.5,0,0.5,2609,2470,139,0.68,-0.18
163,"Niemann, Hans Moke",2609,"Stojanovic, Da",2483,43,E94,Vrnjacka Banja SRB,2021,0.5,1,0.5,2609,2483,126,0.66,-0.16
164,"Budisavljevic, Luka",2509,"Niemann, Hans Moke",2609,59,E46,Vrnjacka Banja SRB,2021,0,0,1,2609,2509,100,0.63,0.37
165,"Niemann, Hans Moke",2609,"Ivic, Velimir",2603,28,E06,Vrnjacka Banja SRB,2021,0.5,1,0.5,2609,2603,6,0.5,0
166,"Bernadskiy, V.",2611,"Niemann, Hans Moke",2609,35,D12,Vrnjacka Banja SRB,2021,1,0,0,2609,2611,-2,0.5,-0.5
167,"Niemann, Hans Moke",2609,"Cabarkapa, N.",2474,37,D02,Vrnjacka Banja SRB,2021,1,1,1,2609,2474,135,0.67,0.33
168,"Indjic, A.",2629,"Niemann, Hans Moke",2609,33,D11,Vrnjacka Banja SRB,2021,0,0,1,2609,2629,-20,0.47,0.53
169,"Bicer, Atakan Mert",2440,"Niemann, Hans Moke",2609,46,B23,Vrnjacka Banja SRB,2021,0,0,1,2609,2440,169,0.71,0.29
170,"Erigaisi, Arjun",2597,"Niemann, Hans Moke",2606,91,C88,Guimaraes POR,2021,0,0,1,2606,2597,9,0.5,0.5
171,"Niemann, Hans Moke",2606,"Vlachos, Anatole",2443,45,E06,Guimaraes POR,2021,1,1,1,2606,2443,163,0.71,0.29
172,"Warmerdam, Max",2562,"Niemann, Hans Moke",2606,76,C65,Guimaraes POR,2021,1,0,0,2606,2562,44,0.55,-0.55
173,"Niemann, Hans Moke",2606,"Yankelevich, L.",2412,46,E97,Guimaraes POR,2021,1,1,1,2606,2412,194,0.74,0.26
174,"Galperin, Platon",2498,"Niemann, Hans Moke",2606,35,E19,Guimaraes POR,2021,0.5,0,0.5,2606,2498,108,0.64,-0.14
175,"Niemann, Hans Moke",2606,"Campora, D.",2401,45,A20,Guimaraes POR,2021,1,1,1,2606,2401,205,0.75,0.25
176,"De Schampheleire, G.",2360,"Niemann, Hans Moke",2606,29,E04,Guimaraes POR,2021,0,0,1,2606,2360,246,0.8,0.2
177,"Niemann, Hans Moke",2606,"Veiga, Jose Francisco R P N",2389,58,E91,Braganca POR,2021,1,1,1,2606,2389,217,0.77,0.23
178,"Garcia Hernandez, Angel",1843,"Niemann, Hans Moke",2606,19,A45,Guimaraes POR,2021,0,0,1,2606,1843,763,0.99,0.01
179,"Beerdsen, Thomas",2454,"Niemann, Hans Moke",2606,75,B11,Braganca POR,2021,0.5,0,0.5,2606,2454,152,0.69,-0.19
180,"Niemann, Hans Moke",2606,"Storme, Isak",2398,38,A20,Braganca POR,2021,1,1,1,2606,2398,208,0.76,0.24
181,"Eugene, Floryan",2368,"Niemann, Hans Moke",2606,51,C55,Braganca POR,2021,0.5,0,0.5,2606,2368,238,0.79,-0.29
182,"Niemann, Hans Moke",2606,"Suarez Gomez, Julio",2449,75,C11,Braganca POR,2021,0.5,1,0.5,2606,2449,157,0.7,-0.2
183,"Niemann, Hans Moke",2606,"Rey Malde, H.",2257,47,E97,Braganca POR,2021,0.5,1,0.5,2606,2257,349,0.88,-0.38
184,"Monteiro, Paulo Alexandre G",1985,"Niemann, Hans Moke",2606,42,E43,Braganca POR,2021,0,0,1,2606,1985,621,0.98,0.02
185,"Niemann, Hans Moke",2606,"Liang, Awonder",2587,38,B12,Cherry Hill USA,2021,1,1,1,2606,2587,19,0.52,0.48
186,"Niemann, Hans Moke",2606,"Rosenthal, Nicholas",2137,30,D30,Cherry Hill USA,2021,1,1,1,2606,2137,469,0.94,0.06
